School ID,School Name (Chinese),Group,District (Chinese),Contact,*School Phone Number_External,*School Phone Number_EY,e-Mail,District Cleaned,School Name
S014,救世軍三聖幼兒學校,4,屯門,24520032,24520032,24520032,dhssn@hkm.salvationarmy.org,Tuen Mun,The Salvation Army Sam Shing Nursery School
S015,香港聖公會聖西門良景幼兒學校,1,屯門,24646939,24646939,24646939,chuchingying@skhwc.org.hk,Tuen Mun,Hong Kong Sheng Kung Hui St Simon's Leung King Nursery School
S016,仁濟醫院友愛幼稚園,2,屯門,24502143,24502143,24502143,yo@ychkg.org.hk,Tuen Mun,Yan Chai Hospital Yau Oi Kindergarten
S017,仁濟醫院山景幼稚園,1,屯門,24551849,24551849,24551849,sk@ychkg.org.hk,Tuen Mun,Yan Chai Hospital Shan King Kindergarten
S018,東華三院田家炳幼兒園,1,屯門,24667454,24667454,24667454,tkpns@tungwah.org.hk,Tuen Mun,Twghs Tin Ka Ping Nursery School
S019,東華三院方譚遠良幼兒園,4,屯門,24610814,24610814,24610814,ftylns@gmail.com,Tuen Mun,Twghs Fong Tam Yuen Leung Nursery School
S020,仁愛堂劉皇發幼稚園,3,屯門,26557771,26557771,26557771,dn1@yot.org.hk,Tuen Mun,Yan Oi Tong Lau Wong Fat Kindergarten
S021,香港保護兒童會蝴蝶邨幼兒學校,1,屯門,24677755,24677755,24677755,fmkam@hkspc.org,Tuen Mun,HKSPC Butterfly Estate Nursery School
S022,路德會良景幼兒園,2,屯門,24656008,24656008,24656008,n07@hklss.hk,Tuen Mun,Leung King Lutheran Day Nursery
S023,世佛會真言宗幼兒學校,3,屯門,24573959,24573959,24573959,wfbmin@yahoo.com.hk,Tuen Mun,W.F.B. Mantra Institute Nursery School
S024,世佛會觀自在幼兒學校,2,屯門,24495008,24495008,24495008,wfbanava@yahoo.com.hk; wfbanlm@gmail.com,Tuen Mun,W.F.B. Avalokitesvara Nursery School
S025,中華基督教會屯門堂幼稚園二校,4,屯門,21520722,21520722,21520722,tmck2@hkcccc.org,Tuen Mun,The Church Of Christ In China Tuen Mun Church No. 2 Kindergarten
S026,中華基督教會深愛堂幼稚園,1,深水埗,27770986,27770986,27770986,info@sockg.edu.hk,Sham Shui Po,The Church Of Christ In China Shum Oi Church Kindergarten
S027,基督教挪威差會主辦信義中英文幼稚園,2,深水埗,27780734,27780734,27780734,nms_elchk@yahoo.com.hk,Sham Shui Po,N-M-S' Lutheran Kindergarten
S028,佳寶幼稚園,3,深水埗,27432800,27432800,27432800,meifoo1@guideposts.edu.hk,Sham Shui Po,Guideposts Kindergarten
S029,西太平洋幼稚園,1,深水埗,23676144,23676144,23676144,wpk_school@yahoo.com.hk,Sham Shui Po,Western Pacific Kindergarten
S030,基督教香港信義會南昌幼稚園,1,深水埗,27258913,27258913,27258913,namcheonghk@yahoo.com.hk,Sham Shui Po,Evangelical Lutheran Church Of Hong Kong Nam Cheong Kindergarten
S031,深水埗德善幼稚園,2,深水埗,27283997,27283997,27283997,ssptakshin@yahoo.com.hk,Sham Shui Po,Sham Shui Po Tak Shin Kindergarten
S032,香港基督教女青年會宏恩幼稚園,4,深水埗,27281122,27281122 / 62053938（手提）,27281122,kga@ywca.org.hk,Sham Shui Po,Hong Kong Y.W.C.A Athena Kindergarten
S033,崇真會白田美善幼稚園,3,深水埗,31522533,31522533,31522533,ptgkg@ptgraceful.edu.hk,Sham Shui Po,Tsung Tsin Mission Pak Tin Graceful Kindergarten
S034,保良局劉陳小寶幼稚園,4,深水埗,22674531,22674531,22674531,plklcspkg@poleungkuk.org.hk,Sham Shui Po,Po Leung Kuk Lau Chan Siu Po Kindergarten
S035,香港基督教女青年會趙靄華幼兒學校,4,深水埗,23866339,23866339,23866339,mankuen@ywca.org.hk,Sham Shui Po,Hong Kong Young Women's Christian Association Chiu Oi Wah Nursery School
S036,香港聖公會基愛幼兒學校,3,深水埗,27297991,27297991,27297991,kodn@skhwc.org.hk,Sham Shui Po,Hong Kong Sheng Kung Hui Kei Oi Nursery School
S037,香港基督教服務處大坑東幼兒學校,3,深水埗,27778020,27778020,27778020,thtns@hkcs.org,Sham Shui Po,Hong Kong Christian Service Tai Hang Tung Nursery School
S038,香港基督教服務處李鄭屋幼兒學校,2,深水埗,23612355,23612355,23612355,lcuns@hkcs.org,Sham Shui Po,Hong Kong Christian Service Lei Cheng Uk Nursery School
S039,竹園區神召會南昌康樂幼兒學校,1,深水埗,27259292,27259292,27259292,gloriachui@pchk.org.hk,Sham Shui Po,Pentecostal Church Of Hong Kong Nam Cheong Nursery School
S040,香港基督教服務處石硤尾幼兒學校,2,深水埗,27791891,27791891,27791891,skmns@hkcs.org,Sham Shui Po,Hong Kong Christian Service Shek Kip Mei Nursery School
S041,仁愛堂龐盧淑燕幼稚園,1,深水埗,35146333,35146333,35146333,"yl.kan@yot.org.hk, kalai.ling@yot.org.hk",Sham Shui Po,Yan Oi Tong Pong Lo Shuk Yin Kindergarten
S042,基督教香港崇真會安康幼兒學校（順寧道）,4,深水埗,27796861,27796861,27796861,oh@ttmssd.org,Sham Shui Po,Tsung Tsin Mission Of Hong Kong On Hong Nursery School (Shun Ning Road)
S043,東華三院譚錦球伉儷幼稚園,3,深水埗,26777266,26777266,26777266,tkk-kindergarten@tungwah.org.hk,Sham Shui Po,Twghs Mr. & Mrs. Tam Kam Kau Kindergarten
S044,佳寶幼稚園（南昌分校）,4,深水埗,26811208,26811208,26811208,namcheong5@guideposts.edu.hk,Sham Shui Po,Guideposts Kindergarten (Nam Cheong Branch)
S045,神召第一小學暨幼稚園,2,九龍城,53695272,53695272,53695272,info@faogkg.edu.hk,Kowloon City,First Assembly Of God Primary School And Kindergarten
S046,太陽島英文幼稚園,3,九龍城,27145545,27145545,27145545,mahakkan@sunisland.com.hk,Kowloon City,Sun Island English Kindergarten
S047,九龍城浸信會幼稚園,1,九龍城,27131875,27131875,27131875,info@kcbckg.edu.hk,Kowloon City,Kowloon City Baptist Church Kindergarten
S048,聖馬可堂白普理幼稚園,1,九龍城,27613191,27613191,27613191,kg@stmarkschurch.edu.hk,Kowloon City,St. Mark's Church Bradbury Kindergarten
S049,美雅幼稚園,3,九龍城,27112631,27112631,27112631,cming_leung@yahoo.com.hk,Kowloon City,May Nga Kindergarten
S050,美雅幼稚園（分校）,2,九龍城,27647319,27647319,27647319,leungpk@maynga.edu.hk,Kowloon City,May Nga Kindergarten (Branch)
S051,太陽島英文幼稚園（樂民）,4,九龍城,24223096,24223096,24223096,cheungmanyan@sunisland.com.hk,Kowloon City,Sun Island English Kindergarten (Lok Man)
S052,聖文嘉幼稚園,3,九龍城,22420082,22420082,22420082,info@stmonica.edu.hk,Kowloon City,St. Monica's Kindergarten
S053,基督教香港崇真會安基幼兒學校,4,九龍城,27647050,27647050,27647050,amylauoi@ttmssd.org; oi@ttmssd.org,Kowloon City,Tsung Tsin Mission Of Hong Kong On Kei Nursery School
S054,保良局林丁麗玲幼稚園暨幼兒園,1,九龍城,23649480,23649480,23649480,ltllkgn@poleungkuk.org.hk,Kowloon City,Po Leung Kuk Lam Ting Lai Ling Kindergarten
S055,博愛醫院任永賢夫人幼稚園,2,九龍城,23333279,23333279,23333279,ywyic@pokoi.org.hk,Kowloon City,Pok Oi Hospital Mrs Yam Wing Yin Kindergarten
S056,救世軍樂民幼兒學校,4,九龍城,23651994,23651994,23651994,lmn@hkm.salvationarmy.org,Kowloon City,The Salvation Army Lok Man Nursery School
S057,中華基督教會望覺堂賢貞幼稚園,2,深水埗,23941142,23941142,23941142,mkcjk@hkcccc.org,Sham Shui Po,The Church of Christ in China Mongkok Church Jeannette Kindergarten
S058,基督教宣道會錦綉幼稚園,2,元朗,97321210,97321210,97321210,fairpark@biznetvigator.com,Yuen Long,Christian & Missionary Alliance Fairview Park Kindergarten
S059,元岡幼稚園,4,元朗,34831350,34831350,34831350,yuenkongkg.edu@gmail.com,Yuen Long,Yuen Kong Kindergarten
S060,保良局曾星如幼稚園,3,元朗,24470133,24470133,24470133,plkcsykg@poleungkuk.org.hk,Yuen Long,Po Leung Kuk Chan Seng Yee Kindergarten
S061,宣道會陳李詠貞紀念幼稚園,1,元朗,24458469,24458469,24458469,caclwtmk@netvigator.com,Yuen Long,Christian Alliance Chen Lee Wing Tsing Memorial Kindergarten
S062,元朗公立中學校友會劉良驤紀念幼稚園,2,元朗,24480816,24480816,24480816,llsmkg@ylallsk.edu.hk,Yuen Long,Yuen Long Public Middle School Alumni Association Lau Leung Sheung Memorial Kindergarten
S063,佳寶幼稚園第三分校（天瑞邨）,1,元朗,24477777,24477777,24477777,tinshui4@guideposts.edu.hk; judyu@guideposts.edu.hk,Yuen Long,Guideposts Kindergarten 3Rd Branch (Tin Shui Estate)
S064,珈琳中英文幼稚園,4,元朗,24432877,24432877,24432877,wongchowing@karlam.edu.hk,Yuen Long,Karlam Anglo-Chinese Kindergarten
S065,中華基督教青年會幼稚園,4,元朗,24452320,24452320,24452320,winnieyip@ymca.org.hk,Yuen Long,Chinese Y.M.C.A. Kindergarten
S066,仁濟醫院明德幼稚園,3,元朗,24865080,24865080,24865080,nancy_2002@ymail.com,Yuen Long,Yan Chai Hospital Ming Tak Kindergarten
S067,圓玄幼稚園,3,元朗,21463111,21463111,21463111,yykgtye@yuenyuenkg.edu.hk,Yuen Long,Yuen Yuen Kindergarten (Tin Yat Estate)
S068,元朗東莞同鄉會熊定嘉幼稚園,4,元朗,21467733,21467733,21467733,tkhtkk@biznetvigator.com,Yuen Long,Yuen Long Tung Koon District Association Hung Ting Ka Kindergarten
S069,香港中文大學校友會聯會陳震夏幼稚園,1,元朗,22544668,22544668,22544668,clarashum@yahoo.com.hk,Yuen Long,CUHK Faa Chan Chun Ha Kindergarten
S070,幼聯主辦安泰幼兒學校,4,元朗,22542442,22542442,22542442,angelyip0507@yahoo.com.hk,Yuen Long,Ceces Organized Aetna Preschool
S071,仁濟醫院林李婉冰幼稚園,3,元朗,24452110,24452110,24452110,admin2.nl@ychkg.edu.hk,Yuen Long,Yan Chai Hospital Nina Lam Kindergarten
S072,博愛醫院朱國京夫人紀念幼稚園,1,元朗,26173572,26173572,26173572,ckkcca@pokoi.org.hk,Yuen Long,Pok Oi Hospital Mrs Chu Kwok King Memorial Kindergarten
S073,仁愛堂吳黃鳳英幼稚園,2,元朗,24482316,24482316,24482316,dn3@yot.org.hk,Yuen Long,Yan Oi Tong Ng Wong Fung Ying Kindergarten
S074,禮賢會元朗幼兒園,3,元朗,24456306,24456306,24456306,ip.ylc@ppe.rhenish.org; law.ylc@ppe.rhenish.org,Yuen Long,Yuen Long Rhenish Nursery
S075,神召會禮拜堂天澤幼兒園,1,元朗,24863456,24863456,24863456,info@faogtcn.edu.hk,Yuen Long,First Assembly Of God Church Tin Chak Nursery
S076,新界婦孺福利會元朗幼兒學校,1,元朗,29443443,29443443,29443443,principal@ntwjwaylns.edu.hk;yl@ntwjwaylns.edu.hk,Yuen Long,Ntw&Jwa Limited Yuen Long Nursery School
S077,鄰舍輔導會元朗幼兒園,2,元朗,24711191,24711191,24711191,yldn@naac.org.hk,Yuen Long,The Neighbourhood Advice-Action Council Yuen Long Day Nursery
S078,中國基督教播道會天恩幼兒學校,2,元朗,21467891,21467891,21467891,info@tyns.edu.hk,Yuen Long,Evangelical Free Church Of China - Tin Yan Nursery School
S079,雅麗斯樂思幼稚園,4,元朗,35202342,35202342,35202342,wiseagnes@agneskg.com,Yuen Long,Agnes Wise Kindergarten
S080,香港中文大學校友會聯會順龍仁澤幼稚園,2,元朗,28992344,28992344,28992344,chan_chun_wai@slyck.edu.hk,Yuen Long,CUHK Faa Shun Lung Yan Chak Kindergarten
S081,保良局郭羅桂珍幼稚園,3,元朗,24667666,24667666,24667666,plkeklkckg@poleungkuk.org.hk,Yuen Long,Po Leung Kuk Eleanor Kwok Law Kwai Chun Kindergarten
S082,聖母無玷聖心幼稚園,3,沙田,26914882,26914882,26914882,yns@ihmk.edu.hk,Shatin,Immaculate Heart Of Mary Kindergarten
S083,保良局吳多泰幼稚園,4,沙田,26972162,2697 2162,26972162,plknttkg@poleungkuk.org.hk,Shatin,Po Leung Kuk Ng Tor Tai Kindergarten
S084,東華三院馬陳景霞幼稚園,2,沙田,26044380,26044380,26044380,twkgckh@yahoo.com.hk,Shatin,Tung Wah Group Of Hospitals Chan King Har Kindergarten
S085,東華三院呂馮鳳紀念幼稚園,3,沙田,26979973,26979973,26979973,twkglffm@tungwah.org.hk,Shatin,Twghs Lui Fung Faung Memorial Kindergarten
S086,港九街坊婦女會孫方中幼稚園,2,沙田,26989517,26989517,26989517,sfc157597@gmail.com; mandylinmin@gmail.com; sfcpta2022@gmail.com,Shatin,HK&KKWA Sun Fong Chung Kindergarten
S087,樂善堂梁泳釗幼稚園,3,沙田,63232241,63232241,63232241,lstsl_kg@yahoo.com,Shatin,Lok Sin Tong Stephen Leung Kindergarten
S088,香港中文大學校友會聯會張煊昌幼稚園,1,沙田,26401973,26401973,26401973,wy_tham@cuhkfaatckg.edu.hk,Shatin,CUHK Federation Of Alumni Associations Thomas Cheung Kindergarten
S089,樂善堂李賢義幼稚園,4,沙田,27175830,27175830,27175830,lstlyykg@yahoo.com,Shatin,Lok Sin Tong Lee Yin Yee Kindergarten
S090,合一堂單家傳紀念幼稚園,2,沙田,26441584,26441584,26441584,skcmkg@hycskckg.edu.hk,Shatin,Hop Yat Church Shin Ka Chuen Memorial Kindergarten
S091,崇真會美善幼稚園（馬鞍山）,4,沙田,31247322,31247322,31247322,ycman@mosgraceful.edu.hk,Shatin,Tsung Tsin Mission Graceful Kindergarten (Ma On Shan)
S092,救世軍禾輋幼兒學校,1,沙田,26040428,26040428,26040428,dhwcn@hkm.salvationarmy.org,Shatin,The Salvation Army Wo Che Nursery School
S093,香港基督教女青年會隆亨幼兒學校,2,沙田,26067962,26067962,26067962,janicelo@ywca.org.hk,Shatin,Hong Kong Young Women's Christian Association Lung Hang Nursery School
S094,港九街坊婦女會丁孫慧珠幼稚園,3,沙田,26056575,26056575,26056575,hkkwats@biznetvigator.com,Shatin,HK&KKWA Ting Sun Hui Chiu Kindergarten
S095,香港保護兒童會賽馬會學心幼兒學校,2,沙田,26057360,26057360,26057360,jchs@hkspc.org,Shatin,HKSPC The Jockey Club Hok Sam Nursery School
S096,新界婦孺福利會博康幼兒學校,1,沙田,26499006,26499006,26499006,principal@ntwjwaphns.edu.hk,Shatin,New Territories Women & Juveniles Welfare Association Limited Pok Hong Nursery School
S097,基督教香港崇真會安頌幼稚園,1,沙田,35953490,35953490,35953490,racheltinog@ttmssd.org,Shatin,Tsung Tsin Mission Of Hong Kong On Chung Kindergarten
S098,香港基督教服務處雋樂幼稚園（沙田）,3,沙田,23680688,23680688,23680688,pariokg-st@hkcs.org,Shatin,Hong Kong Christian Service Pario Kindergarten (Shatin)
S099,仁愛堂鄭丁港夫人幼稚園,1,沙田,26824000,26824000,26824000,kg6@yot.org.hk,Shatin,Yan Oi Tong Mrs Cheng Ting Kong Kindergarten
S100,救世軍乙明幼兒學校,4,沙田,26474897,26474897,26474897,jmn@hkm.salvationarmy.org,Shatin,The Salvation Army Jat Min Nursery School
S101,香港保護兒童會新航黃埔幼兒學校,1,九龍城,23650558,2365-0558,23650558,wp@hkspc.org,Kowloon City,HKSPC Sia Whampoa Nursery School
S102,九龍真光中學（幼稚園部）,5,九龍城,27558800,27558800,27558800,cmyip@ktlks.edu.hk; cwso@ktlks.edu.hk,Kowloon City,Kowloon True Light School (Kindergarten Section)
S103,綠茵英文幼稚園（馬鞍山）,5,沙田,26330327,26330327,26330327,mosgreenfield@gmail.com,Shatin,Greenfield English Kindergarten (Ma On Shan)
S104,九龍禮賢學校暨幼稚園,5,深水埗,23806011,23806011,23806011,pschung@krs.edu.hk,Sham Shui Po,Kowloon Rhenish School
S105,聖文嘉中英文幼稚園（荃灣）,5,荃灣,24155650,24155650,24155650,stephanie@stmonicatw.edu.hk (廖副校); kg@stmonicatw.edu.hk (校務處),Others,St.Monica's Anglo-Chinese Kindergarten (Tsuen Wan)
S106,基督教宣道會寶湖幼兒學校,5,大埔,26508223,26508223,26508223,plovercove@cmasshk.org,Others,Christian & Missionary Alliance Plover Cove Nursery School
S107,仁濟醫院董伯英幼稚園/幼兒中心,5,葵青,24801953,24801953,24801953,tpy@ychkg.org.hk,Others,Christian & Missionary Alliance Plover Cove Nursery School
S108,五邑工商總會張祝珊幼稚園,5,黃大仙,23273317,23273317,23273317,fd@ccsn.edu.hk,Others,Five District Business Welfare Association Cheung Chuk Shan Kindergarten
S109,聖雅各福群會銅鑼灣幼稚園,5,灣仔,28081391,28081391,28081391,cwluk@sjs.org.hk,Others,SJS Causeway Bay Kindergarten
S110,協康會上海總會康苗幼稚園,5,葵青,37052251,37052251,37052251,sfahk@heephong.org,Others,Heep Hong Society Shanghai Fraternity Association Healthy Kids Kindergarten
S111,東華三院群芳幼兒園,5,黃大仙,23516718,23516718,23516718,kfns@tungwah.org.hk,Others,TWGHs Kwan Fong Nursery School
S112,柴灣浸信會學前教育中心呂明才幼稚園,5,東區,25580199,25580199,25580199,janet0607@hotmail.com,Others,CWBC Pre-School Education Lui Ming Choi Kindergarten
S113,聖母潔心會福音秀茂坪幼稚園,5,觀塘,23460072,23460072,23460072,sihmsmp@netvigator.com,Others,The Sisters of the Immaculate Heart of Mary Gospel SMP Kindergarten
S114,Small World Christian Kindergarten,5,中西區,25250922,25250922,25250922,rita.leung@smallworld.edu.hk,Others,Small World Christian Kindergarten
S115,仁愛堂彭鴻樟幼稚園,5,荃灣,24083000,24083000,24083000,emily.tang@yot.org.hk,Others,Yan Oi Tong Pang Hung Cheung Kindergarten
S116,救世軍荃灣幼兒學校,5,荃灣,24171400,24171400,24171400,twn@hkm.salvationarmy.org,Others,Salvation Army Tsuen Wan Nursery School
S117,仁愛堂陳鄭玉而幼稚園暨幼兒園,5,油尖旺,21997343,21997343,21997343,irene.lai@yot.org.hk,Others,Yan Oi Tong Chan Cheng Yuk Yee Nursery
S118,港青基信國際幼稚園,5,油尖旺,22687766,22687766,22687766,kindergarten@ymcahk.org.hk,Others,YMCA of Hong Kong Christian International Kindergarten
S119,艾蒙特國際幼稚園,5,元朗,56247314,56247314,56247314,tom.adams@eis.edu.hk,Yuen Long,EIS International Pre-school
S120,香港小童群益會樂緻幼稚園（灣仔）,5,灣仔,25298484,25298484,25298484,wccn@bgca.org.hk,Others,BGCAHK Cheerland Kindergarten (Wan Chai)
